match_date,season,league,home_team,away_team,home_elo,away_elo,elo_diff,home_expected,home_g2_rating,away_g2_rating,g2_diff,home_g2_uncertainty,home_form,away_form,form_diff,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_result_momentum,away_result_momentum,home_score_momentum,away_score_momentum,home_elo_momentum,away_elo_momentum,home_streak,away_streak,momentum_diff,home_days_rest,away_days_rest,home_matches_21d,away_matches_21d,rest_asymmetry,home_fatigue_score,away_fatigue_score,h2h_home_win_rate,h2h_goal_diff_avg,h2h_meetings,h2h_dominance,revenge_factor,home_unbeaten_run,away_unbeaten_run,post_loss_bounce,post_loss_bounce_away,league_encoded,is_early_season,result
2020-08-21,2020-21,Ligue1,Bordeaux,Nantes,1500.0,1500.0,0.0,0.5714631174083814,1500.0,1500.0,0.0,200.0,0.5,0.5,0.0,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,14,14,0,0,0.0,0.0,0.0,0.45,0.0,0,0.0,0,0,0,0,0,3,1,D
2020-08-22,2020-21,Ligue1,Dijon,Angers,1500.0,1500.0,0.0,0.5714631174083814,1500.0,1500.0,0.0,200.0,0.5,0.5,0.0,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,14,14,0,0,0.0,0.0,0.0,0.45,0.0,0,0.0,0,0,0,0,0,3,1,A
2020-08-22,2020-21,Ligue1,Lille,Rennes,1500.0,1500.0,0.0,0.5714631174083814,1500.0,1500.0,0.0,200.0,0.5,0.5,0.0,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,14,14,0,0,0.0,0.0,0.0,0.45,0.0,0,0.0,0,0,0,0,0,3,1,D
2020-08-23,2020-21,Ligue1,Monaco,Reims,1500.0,1500.0,0.0,0.5714631174083814,1500.0,1500.0,0.0,200.0,0.5,0.5,0.0,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,14,14,0,0,0.0,0.0,0.0,0.45,0.0,0,0.0,0,0,0,0,0,3,1,D
2020-08-23,2020-21,Ligue1,Lorient,Strasbourg,1500.0,1500.0,0.0,0.5714631174083814,1500.0,1500.0,0.0,200.0,0.5,0.5,0.0,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,14,14,0,0,0.0,0.0,0.0,0.45,0.0,0,0.0,0,0,0,0,0,3,1,H
2020-08-23,2020-21,Ligue1,Nimes,Brest,1500.0,1500.0,0.0,0.5714631174083814,1500.0,1500.0,0.0,200.0,0.5,0.5,0.0,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,14,14,0,0,0.0,0.0,0.0,0.45,0.0,0,0.0,0,0,0,0,0,3,1,H
2020-08-23,2020-21,Ligue1,Nice,Lens,1500.0,1500.0,0.0,0.5714631174083814,1500.0,1500.0,0.0,200.0,0.5,0.5,0.0,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,14,14,0,0,0.0,0.0,0.0,0.45,0.0,0,0.0,0,0,0,0,0,3,1,H
2020-08-28,2020-21,Ligue1,Lyon,Dijon,1500.0,1488.1041494853769,11.895850514623135,0.5881447544512485,1500.0,1411.4226059079153,88.57739409208466,200.0,0.5,0.0,0.5,1.5,1.5,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.4,0.025000000000000022,14,6,0,1,8.0,0.4,-0.4,0.45,0.0,0,0.0,0,0,0,0,1,3,1,H
2020-08-29,2020-21,Ligue1,Rennes,Montpellier,1501.1434098785342,1500.0,1.1434098785341575,0.5730742387522231,1509.5544635011818,1500.0,9.554463501181772,180.3308734753755,0.3333333333333333,0.5,-0.16666666666666669,1.0,1.0,1.5,1.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,7,14,1,0,-7.0,-0.35,0.35,0.45,0.0,0,0.0,0,1,0,0,0,3,1,H
2020-08-29,2020-21,Ligue1,Strasbourg,Nice,1489.871984996682,1508.9206294160006,-19.048644419318634,0.5444251216453465,1430.531532910279,1569.468467089721,-138.93693417944178,180.3308734753755,0.0,1.0,-1.0,1.0,3.0,2.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.4,0.6,-0.050000000000000044,6,6,1,1,0.0,0.0,0.0,0.45,0.0,0,0.0,0,0,1,1,0,3,1,A
